,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
107,Jean Carlos\Jean-Carlos,br BRA,MF,Goiás,25,1993,1,1,20,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
108,João Carlos\Joao-Carlos,br BRA,GK,CSA,30,1988,11,10,899,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
109,Leandro Carvalho\Leandro-Carvalho,br BRA,MF,Ceará,23,1995,26,15,1284,3,2,0,0,5,0,0.21,0.14,0.35,0.21,0.35,Matches
110,Roger Carvalho\Roger-Carvalho,br BRA,DF,Fortaleza,32,1986,12,12,987,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Cassiano\Cassiano,br BRA,FWMF,CSA,29,1989,10,6,560,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Cássio\Cassio,br BRA,GK,Corinthians,31,1987,32,32,2860,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Igor Cássio\Igor-Cassio,br BRA,MFFW,Botafogo (RJ),20,1998,12,6,632,2,0,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches
114,Leandro Castán\Leandro-Castan,br BRA,DF,Vasco da Gama,32,1986,22,22,1974,2,1,0,0,8,1,0.09,0.05,0.14,0.09,0.14,Matches
115,Luciano Castán\Luciano-Castan,br BRA,DF,CSA,29,1989,34,34,3060,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Pedro Castro\Pedro-Castro,br BRA,MF,Avaí,25,1993,27,27,2312,1,0,0,1,1,0,0.04,0.00,0.04,0.04,0.04,Matches
117,Diego Cavalieri\Diego-Cavalieri,br BRA,GK,Botafogo (RJ),36,1982,9,8,765,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Juan Cazares\Juan-Cazares,ec ECU,MF,Atlético Mineiro,26,1992,26,22,1763,6,1,1,1,3,1,0.31,0.05,0.36,0.26,0.31,Matches
119,Celsinho\Celsinho,br BRA,DF,CSA,30,1988,12,9,869,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
