,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
106,Bryan Carrasco\Bryan-Carrasco,cl CHI,MFDF,Veracruz,27,1991,31,26,2117,5,3,3,3,5,0,0.21,0.13,0.34,0.09,0.21,Matches
107,Rosario Enrique Cota Carrazco\Rosario-Enrique-Cota-Carrazco,mx MEX,DF,UNAM,22,1995,6,4,418,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Wilder Cartagena\Wilder-Cartagena,pe PER,MF,Veracruz,23,1994,12,11,884,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Esteban Carvajal\Esteban-Carvajal,cl CHI,MF,Atlas,29,1988,6,5,429,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Bryan Carvallo\Bryan-Carvallo,cl CHI,FWMF,Necaxa,21,1996,2,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Kevin Castañeda\Kevin-Castaneda,mx MEX,MF,Toluca,18,1999,3,0,19,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Erick Castillo\Erick-Castillo,ec ECU,FWMF,Tijuana,23,1995,24,8,967,2,0,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
113,Fabián Castillo\Fabian-Castillo,co COL,MF,Tijuana,26,1992,22,18,1444,3,2,0,0,1,0,0.19,0.12,0.31,0.19,0.31,Matches
114,Nicolás Castillo\Nicolas-Castillo,cl CHI,FW,América,25,1993,10,9,777,5,2,0,0,3,0,0.58,0.23,0.81,0.58,0.81,Matches
115,Raúl Castillo\Raul-Castillo,mx MEX,MF,Pachuca,16,2001,2,0,45,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
116,Facundo Castro\Facundo-Castro,uy URU,MF,Necaxa,23,1995,23,9,926,2,2,0,0,1,0,0.19,0.19,0.39,0.19,0.39,Matches
117,Andrés Catalán\Andres-Catalan,mx MEX,DF,Morelia,17,2000,3,1,131,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Martín Cauteruccio\Martin-Cauteruccio,uy URU,FW,Cruz Azul,31,1987,31,17,1450,5,1,0,0,3,0,0.31,0.06,0.37,0.31,0.37,Matches
